comment_id,note_key,user_key,user_name,user_urlname,user_icon,commented_at,body
nc03117635eb05,n4cd8ae4c1f8f,c1093f4f0eedf7616153551fff2e1728,芽乃葉✨️AIといっしょに創る,maynoha,https://assets.st-note.com/production/uploads/images/269590964/profile_898292ed3a49a84efc0fd0f6bc0204a8.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-19T11:25:24.916+09:00,"間取りデザインとてもいいですね！
インテリアも可愛いし、女の子の笑顔も素敵✨

間取り図見たり考えるの好きで、マイホームデザイナーで部屋を作ったりしたことあるんですけど、AIでやるの面白そうですねー"
nce10763ccdab9,n4cd8ae4c1f8f,fbaef2c001615d02444573a135007008,はしゃも｜感情構造エンジニア,hasyamo,https://assets.st-note.com/production/uploads/images/237516392/profile_c0ac2ae8315e28ee425c27b5c2aefa32.jpg?fit=bounds&format=jpeg&quality=85&width=330,2026-04-19T09:54:39.526+09:00,"まいかさん、こんにちは！
CADの記事から「NanoBananaで間取りやれるのでは？」に発想が飛ぶところ、まいかさんらしいです😊
模様替えってジャンルとしては参入者多そうなのに、インテリア×風水×AIイラストで切るとたしかに競合少ない。この視点、いつも勉強させられます。
今日ちょっと、部屋の家具を数センチ動かしてみますｗ。"
nc70c9d75a441c,n4cd8ae4c1f8f,35c83e4549c94d6ccc6184c2be32cf42,NOA＠全力でAIで遊ぶ人,77_noa,https://assets.st-note.com/production/uploads/images/249472811/profile_9a1e8ee4def7e48f9735046e99fd4853.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-18T01:47:58.253+09:00,"インテリアデザイン良いですね！
そしてまた、今回も空気感が良いイラスト流石です( * ॑꒳ ॑*)
以前に教えてもらった構造化の構成参考にしながらイラスト真似して作ってみましたが、なかなか同じ空気感の物は再現出来ませんでした(笑)
次回も楽しみにしてます！"
nc90ff87932864,n4cd8ae4c1f8f,fd7f2d9911e1bb13d7e4fa85f8ad30c1,仕事屋仁義,hip_swan408,https://assets.st-note.com/production/uploads/images/243219227/profile_f798b218e6965fc017adddf4b71583df.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-17T20:28:26.588+09:00,"お疲れ様です。投稿拝見しました。風水とは斬新ですね。あとなんで３００人言ったのご存じ？誰にも言ってないのに
"
ncb3d2f0f417cb,n4cd8ae4c1f8f,48bc8f61b05eeab600bc1a15f8363e20,yukariyajp,brainy_thyme2046,https://assets.st-note.com/production/uploads/images/250966124/profile_e99d6edcbd65a3cef478331de0494c4a.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-17T12:15:05.925+09:00,ご紹介いただきありがとうございます。間取り、インテリア・・・面白いですね。新鮮な驚きです。ご支援いつもありがとうございます！！
ncadeb80133cae,n4b9b2bf3c35c,fd7f2d9911e1bb13d7e4fa85f8ad30c1,仕事屋仁義,hip_swan408,https://assets.st-note.com/production/uploads/images/243219227/profile_f798b218e6965fc017adddf4b71583df.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-15T07:43:08.261+09:00,お疲れ様です。投稿拝見しました。春の装い、素敵でした。
nc6324cbfb3050,n51b46ea9a2aa,35c83e4549c94d6ccc6184c2be32cf42,NOA＠全力でAIで遊ぶ人,77_noa,https://assets.st-note.com/production/uploads/images/249472811/profile_9a1e8ee4def7e48f9735046e99fd4853.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-14T14:58:23.774+09:00,"初コメです！NanoBananaクリエーター1位おめでとうございます🎉
私も今NanoBananaのイラストを研究してまして目などの単一部分の美麗化は出来たものの、全体的なクオリティ上げがもの凄い難しくて苦戦してます🤮笑
まいかさんのイラストはどれも素晴らしくていつも拝見させて貰ってます┏○ﾍﾟｺｯ
改めておめでとうございます🎉"
nc540b56409acf,n51b46ea9a2aa,fbaef2c001615d02444573a135007008,はしゃも｜感情構造エンジニア,hasyamo,https://assets.st-note.com/production/uploads/images/237516392/profile_c0ac2ae8315e28ee425c27b5c2aefa32.jpg?fit=bounds&format=jpeg&quality=85&width=330,2026-04-14T00:00:20.394+09:00,"まいかさん、NanoBananaクリエータ１位おめでとうございます✨️
もうね、イラストに嬉しさがにじみ出てますね😆
NanoBanana衣装には笑わせてもらいました🤭"
ncd96732ec7e7f,n51b46ea9a2aa,70c3271b9051ed491ab42eaab31108fb,明日鍍　禮あすと　れい,fine_hornet8521,https://assets.st-note.com/production/uploads/images/267579482/profile_8c119e2da13f96ad0cc1befb0a037461.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-12T18:20:30.090+09:00,"遂にTOPに上り詰めましたか!
おめでとう御座います🎉🎊🎉
🍌でお祝いだー😆🐣
"
nc98b2d004c6c3,n51b46ea9a2aa,c2ec43b18447ef56d3def92e0343079c,プチクラゲ,like_rose7933,https://assets.st-note.com/production/uploads/images/268614169/profile_a50cb882b719cea4c1e37c1e4ab5ed30.jpg?fit=bounds&format=jpeg&quality=85&width=330,2026-04-11T22:50:41.532+09:00,"凄いです！
いつも、可愛くて洗練されてていいなぁって思ってたら、やはり。
1位おめでとうごさいます💝"
nc5ed567e85f6a,n51b46ea9a2aa,fd7f2d9911e1bb13d7e4fa85f8ad30c1,仕事屋仁義,hip_swan408,https://assets.st-note.com/production/uploads/images/243219227/profile_f798b218e6965fc017adddf4b71583df.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-11T20:07:52.706+09:00,"お疲れ様です。投稿拝見しました。1位おめでとうございます。！！
やった俺たちの押しが１位とったどー。それとなんで自分のフォロワー知ってるんですか？エスパーですか？"
nc30b2149a1c38,n51b46ea9a2aa,48bc8f61b05eeab600bc1a15f8363e20,yukariyajp,brainy_thyme2046,https://assets.st-note.com/production/uploads/images/250966124/profile_e99d6edcbd65a3cef478331de0494c4a.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-11T19:23:16.749+09:00,"おめでとうございます。ご紹介いただきありがとうございます。
1位？！　それはすごいですね！"
nc2899e6295094,n79d2029d51d9,1901997ee3ca40b9ed2155ccadb17509,人生崖っぷちから100日の軌跡,gakeppuchiojisan,https://assets.st-note.com/production/uploads/images/268851779/profile_a8f02e3ce18c8182a93551a5a5b4225d.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-21T14:11:52.910+09:00,すごいスキの数ですね！内容も充実してますね！勉強になります📚
ncbc097cb048e0,n79d2029d51d9,da7c8dabe5a822cc4cd19c6b8279b24e,これから嘱託はじめます。,real_pothos5821,https://assets.st-note.com/production/uploads/images/262572186/profile_6203044f5de5e02c45aa0a5b53325cf2.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-12T03:08:29.659+09:00,"こんばんは🌙

自分のNotebookｌMで、
まいかさんの才能を分析して頂きました。

1. 「右脳（感性）」と「左脳（戦略）」のハイブリッドな才能 🧠✨
2. 数値に裏打ちされた「本物の実力」 🏆
3. 「生身の言葉」を大切にする人間味 🌸
「指を止めさせる」執念： 読者のタイムラインを止めるためのタイトル力や、読後の爽快感を追求する姿勢があります。

彼女のような才能ある方と繋がっていることは、あなたの動画制作やnote活動にとっても、大きな刺激と癒やしになりそうですね！😊🌸

貴女のような…方と繋がりになれて
とても刺激になります。
これからも、よろしくお願いします🙇"
nc2d02874a09d8,n79d2029d51d9,70c3271b9051ed491ab42eaab31108fb,明日鍍　禮あすと　れい,fine_hornet8521,https://assets.st-note.com/production/uploads/images/267579482/profile_8c119e2da13f96ad0cc1befb0a037461.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-08T15:03:08.568+09:00,"40記事連続100スキ!達成、おめでとう御座います🎉
何処まで突き抜けるのか、拝ませていただきます🫡"
ncd0d2089e0678,n79d2029d51d9,d7ae471123479bbc104abfcefc86ebf9,ノラ,stray_dog0012,https://assets.st-note.com/production/uploads/images/264626959/profile_cafe07a8ccd745e31b7c8526a92284bb.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-07T21:31:46.182+09:00,"初めまして、ノラと申します。✨
40記事連続100スキ達成、本当におめでとうございます！継続することの難しさと、その先にあるマーケティングの成果を形にされている姿、とても刺激になります。
クリエイティブと数値目標を両立させる姿勢、研究者としても見習わせていただきたいです。これからも投稿、注目させていただきます！🎯"
nc0aaa9de09f0d,n79d2029d51d9,d3d26f9caf56e3707cd580d65b9105b8,みお｜フォロバ100,kenworkflow,https://assets.st-note.com/production/uploads/images/248843344/profile_ca36e2652997583b0b1af7a7616ba4ed.jpg?fit=bounds&format=jpeg&quality=85&width=330,2026-04-07T18:38:32.156+09:00,最初は10スキで喜んでいたというエピソードに、まいかさんの等身大の歩みを感じてとても勇気づけられました。 今では「スキの磁石」のように多くの人を惹きつけていらっしゃいますが、その裏には「指を止めさせる」執念や、鼻血が出るほどの生身の言葉の積み重ねがあるのだと知り、胸が熱くなりました。 宇宙の法則を乱すほどのドヤ顔イラストも、努力の結晶だと思うと最高に輝いて見えます！
nc521015f18e80,n79d2029d51d9,48bc8f61b05eeab600bc1a15f8363e20,yukariyajp,brainy_thyme2046,https://assets.st-note.com/production/uploads/images/250966124/profile_e99d6edcbd65a3cef478331de0494c4a.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-07T16:32:19.940+09:00,40記事連続100スキおめでとうございます。紹介もいただきましてありがとうございます。うれしい驚きです。分析がまた良いですね。今後とも・・よろしくお願いいたします。
nce8308f15d6a7,n79d2029d51d9,3ecb096a2dd15f6409301aa8609372e5,しゅんちゃん｜フォロバ93.25％（理想値）,psychicer4972,https://assets.st-note.com/production/uploads/images/200859454/profile_348081cce81ff7644fde55390349ad09.jpg?fit=bounds&format=jpeg&quality=85&width=330,2026-04-07T07:12:37.962+09:00,"まいかさん、おはようございます❣　そして、紹介ありがとうございます(*´ω｀*)

40記事連続100スキおめでとうございます！　私はまだまだ瞬間的（投稿直後）に20～25行けばいいほうかな……じわじわとでもいいから100スキ達成してみたいです。

これからもどんどん記録を伸ばしていってください！
"
nc70101a6f2ab3,n2c4f95ee2945,9589f500b1e1e877e32758562c26ca92,AI素人研究所,serene_koala5406,https://assets.st-note.com/production/uploads/images/262144559/profile_573b3df31e46801551b0db5716cfae00.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-13T18:23:52.104+09:00,"綺麗な絵ですね☺私は次の動画どうしよか迷って色々彷徨い中です
貴方の可愛い画像眺めていると癒やされますね
貴方はイメージ沸かないときどうしてますか？
私もナノバナナにはお世話になっていますが
イメージわかないと画像も何を生成するかも彷徨い中
ごめんなさい独り言のようなコメントを🙏"
nc2510a9d4d229,n2c4f95ee2945,70c3271b9051ed491ab42eaab31108fb,明日鍍　禮あすと　れい,fine_hornet8521,https://assets.st-note.com/production/uploads/images/267579482/profile_8c119e2da13f96ad0cc1befb0a037461.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-05T14:24:59.854+09:00,NanaBananaクリエイター1位＆キングオブNanoBanana、メンバーシップ4位おめでとう御座います🎉
ncd9776d9bbc2e,n2c4f95ee2945,fd7f2d9911e1bb13d7e4fa85f8ad30c1,仕事屋仁義,hip_swan408,https://assets.st-note.com/production/uploads/images/243219227/profile_f798b218e6965fc017adddf4b71583df.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-04T14:10:12.099+09:00,"お疲れ様です。投稿拝見しました。すごい！！ランキング1位とか！！
一緒に仲間にいれてもらうしかない！！"
ncf6847bceae12,nc3c64ad113f6,43c9eb43349562ef5151388111f4ab2f,青井透子｜日常の過剰解釈屋　,crisp_chimp0823,https://assets.st-note.com/production/uploads/images/212111780/profile_60fd29d2d4b0d3d5dd95587e520f32da.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-04T07:46:47.245+09:00,"水彩のイラスト、繊細でどこか儚さがあって素敵でした🥺
こういう雰囲気、本当に大好きです✨✨"
nc3c01f0a7a323,nc3c64ad113f6,3ecb096a2dd15f6409301aa8609372e5,しゅんちゃん｜フォロバ93.25％（理想値）,psychicer4972,https://assets.st-note.com/production/uploads/images/200859454/profile_348081cce81ff7644fde55390349ad09.jpg?fit=bounds&format=jpeg&quality=85&width=330,2026-04-01T20:58:20.634+09:00,"まいかさん、ご紹介ありがとうございました(*´ω｀*)
ネモフィラのボタニカルアート、ステキですね❣
アニメ好きなのもあって、やはりアニメ塗りが一番いいです💫

そろそろお花のシーズンですね。
ネモフィラといえば茨城県のひたち海浜公園の一面の青い絨毯がステキでした❣

"
nc380c8d734d4e,nc3c64ad113f6,fbaef2c001615d02444573a135007008,はしゃも｜感情構造エンジニア,hasyamo,https://assets.st-note.com/production/uploads/images/237516392/profile_c0ac2ae8315e28ee425c27b5c2aefa32.jpg?fit=bounds&format=jpeg&quality=85&width=330,2026-03-31T21:43:44.546+09:00,"ネモフィラのボタニカルアート、水彩とアニメ塗りで雰囲気がガラッと変わるのが面白いです。プロンプトを3ブロックに分ける構造、いろいろアレンジできそうですね。
最近タロットカードの画像生成の仕組みを作ったので、お花畑バージョンも作ってみたくなりました。フォロワー紹介もありがとうございます！"
nc11e514b884e4,nc3c64ad113f6,fd7f2d9911e1bb13d7e4fa85f8ad30c1,仕事屋仁義,hip_swan408,https://assets.st-note.com/production/uploads/images/243219227/profile_f798b218e6965fc017adddf4b71583df.png?fit=bounds&format=jpeg&quality=85&width=330,2026-03-31T21:28:43.451+09:00,"お疲れ様です。投稿拝見しました。紹介ありがとうございます。照れ＞＜
今日のイラストの女の子も生き生きしてますね。色使いも素敵です。"
ncc1e13393d897,n2efcd407336d,43c9eb43349562ef5151388111f4ab2f,青井透子｜日常の過剰解釈屋　,crisp_chimp0823,https://assets.st-note.com/production/uploads/images/212111780/profile_60fd29d2d4b0d3d5dd95587e520f32da.png?fit=bounds&format=jpeg&quality=85&width=330,2026-04-04T07:43:40.474+09:00,"まいかさん、おはようございます✨

まいかさんのファッションイラスト、おしゃれすぎます！！😍
ストリートファッションと、
ファッションエディトリアルのイラストが特に好きです💖
ヘアスタイルまでおしゃれで、細かいところまで見入ってしまいました😮✨
見ていてとても楽しかったです🥰"
nc3e650151475a,n2efcd407336d,db80149c2b9b9c6ced48228f9d0d9700,電工二種@n県,denkou_n_2shu,https://assets.st-note.com/production/uploads/images/252362663/profile_a11402dfac816ddeafc462c6e8fa0ec9.jpg?fit=bounds&format=jpeg&quality=85&width=330,2026-04-02T19:03:18.314+09:00,ナイスですー👍
ncbd18b6ecacc3,n2efcd407336d,58e8718b82d8bb24a98faa2e3b12b526,たび.　,51shinya,https://assets.st-note.com/production/uploads/images/259902729/profile_b80db7bab49f37404000d03424d13de3.png?fit=bounds&format=jpeg&quality=85&width=330,2026-03-27T22:41:25.399+09:00,"千住まいかさま、こんばんは、はじめまして！
う〜～ん、なんてオシャレなんでしょう。
あたし、しょうもない物書きなのですが、イラストも勉強してみたいなぁなんて思いました。
今後もオジャマさせていただきます。"
nc248c844498b0,n2efcd407336d,fd7f2d9911e1bb13d7e4fa85f8ad30c1,仕事屋仁義,hip_swan408,https://assets.st-note.com/production/uploads/images/243219227/profile_f798b218e6965fc017adddf4b71583df.png?fit=bounds&format=jpeg&quality=85&width=330,2026-03-25T17:03:46.353+09:00,"お疲れ様です。投稿拝見しました。
好きなイラストレーターは、まいかさん、オフコース。今回のイラスト、ファッション誌みたい、来るサイト間違えたかな？と思いました。"
nc624ca65b1582,n30581e481ceb,fd7f2d9911e1bb13d7e4fa85f8ad30c1,仕事屋仁義,hip_swan408,https://assets.st-note.com/production/uploads/images/243219227/profile_f798b218e6965fc017adddf4b71583df.png?fit=bounds&format=jpeg&quality=85&width=330,2026-03-20T21:58:05.074+09:00,"お疲れ様です。投稿拝見しました。ご紹介いただきありがとうございます。
ランキング4位おめでとうございます。これからも推していきます。"
nc819041d6fc16,n30581e481ceb,70c3271b9051ed491ab42eaab31108fb,明日鍍　禮あすと　れい,fine_hornet8521,https://assets.st-note.com/production/uploads/images/267579482/profile_8c119e2da13f96ad0cc1befb0a037461.png?fit=bounds&format=jpeg&quality=85&width=330,2026-03-20T21:53:29.436+09:00,"AIイラストクリエーターランキング4位、改めておめでとう御座います!
役立つ情報や、イラストに助けられ癒されてます😍"
nce5b10c28f0b3,n9dee9c1e39d2,fbaef2c001615d02444573a135007008,はしゃも｜感情構造エンジニア,hasyamo,https://assets.st-note.com/production/uploads/images/237516392/profile_c0ac2ae8315e28ee425c27b5c2aefa32.jpg?fit=bounds&format=jpeg&quality=85&width=330,2026-03-29T00:39:29.653+09:00,"まいかさん、こんばんは🌙
noteライフ、100日経っても楽しいです。まいかさんの記事を読むとその楽しさを思い出します。
AIイラストクリエイターランキング4位、フォロワー3,000超え、素晴らしい実績ですね。キャラクターもそれぞれ役割が分かれていて、ブランドとしての一貫性があるのが印象的でした。
自分もキャラクターを運用しているんですが、こうやって「自分のキャラクターを紹介する記事」をちゃんと書いたほうがいいのか、読んでいて悩み始めました😊"
nc1ce61b7d42f7,n9dee9c1e39d2,63e4b578c287a3b35e9999d0de3db399,つくし＠KATACHI,ripe_sage2760,https://assets.st-note.com/poc-image/manual/preset_user_image/production/i1bbf72cee783.jpg,2026-03-28T11:44:38.967+09:00,"千住まいかさん
キャラクターのAIイラストを拝見しました。
どのキャラクターも、表情が豊かで、光の陰影(コントラスト)がはっきりしていて、魅力的なデザインですね😊
AIイラストのクリエイターとして、実績を残していて、素晴らしいです。
今後の活躍も応援しています✨"
ncd931154cd8d0,n9dee9c1e39d2,d8cf97051ce75bda022419ecdae2120a,ゆうしん🐹｜デジタルの温もりを届けるAIアートクリエイター,yuushinhalo2025,https://assets.st-note.com/production/uploads/images/249035244/profile_dcef21dc72703428f6c6a28da53dee91.png?fit=bounds&format=jpeg&quality=85&width=330,2026-03-17T14:28:26.669+09:00,"千住まいかさん

こんにちは‪🐹
4位おめでとうございます🎉
note内ではいろんなランキングがあるんですね✨
note初心者ですが、今後もよろしくお願いします🍀"
nc13fbf55a50e1,n9dee9c1e39d2,fd7f2d9911e1bb13d7e4fa85f8ad30c1,仕事屋仁義,hip_swan408,https://assets.st-note.com/production/uploads/images/243219227/profile_f798b218e6965fc017adddf4b71583df.png?fit=bounds&format=jpeg&quality=85&width=330,2026-03-17T12:29:24.503+09:00,"お疲れ様です。投稿拝見しました。
どこまでも推して行きます。"
nce06d6e1e21f0,ned366dec6453,fd7f2d9911e1bb13d7e4fa85f8ad30c1,仕事屋仁義,hip_swan408,https://assets.st-note.com/production/uploads/images/243219227/profile_f798b218e6965fc017adddf4b71583df.png?fit=bounds&format=jpeg&quality=85&width=330,2026-03-17T12:25:44.438+09:00,"お疲れ様です。投稿拝見しました。
凛々しい女性ですね。ドラマとかに出て来そう。"
nc848440cf1de2,n45ff6055bf00,916307100d579d6f83143ca0e3a26964,h.ogawa02,hip_magpie072,https://assets.st-note.com/production/uploads/images/238317274/profile_21d476fbbdc7826c7024629ca5640c39.png?fit=bounds&format=jpeg&quality=85&width=330,2026-03-13T08:56:45.611+09:00,"千住まいか🐇｜AIイラストクリエイターさん
おはようございます。
スキありがとうございます。
感じ取っていただけたなら嬉しいです。
努力の積み重ねですね。
これからも素敵な発信楽しみにしておりますね。"
ncd3291880fb0b,n45ff6055bf00,fd7f2d9911e1bb13d7e4fa85f8ad30c1,仕事屋仁義,hip_swan408,https://assets.st-note.com/production/uploads/images/243219227/profile_f798b218e6965fc017adddf4b71583df.png?fit=bounds&format=jpeg&quality=85&width=330,2026-03-13T08:06:19.335+09:00,嬉しい、本当に嬉しい、紹介してくださり本当にありがとうございます。評価してくれた、推しに認知されて胸の中から熱い思いが、溢れ出す。泣きそうです。
ncf7d49562d04e,n45ff6055bf00,963282f9c5acd44a6e0fde4bd6fc9bae,ひでき,pure_panda2182,https://assets.st-note.com/production/uploads/images/238845366/profile_5532b42ab243e8dc0cd2506618058317.jpg?fit=bounds&format=jpeg&quality=85&width=330,2026-03-12T19:25:34.213+09:00,38週もの間、素敵な発信を届けてくれてありがとうございます。本当にお疲れ様です！
nc2111e0ad247a,nc93cd8901467,c2ec43b18447ef56d3def92e0343079c,プチクラゲ,like_rose7933,https://assets.st-note.com/production/uploads/images/268614169/profile_a50cb882b719cea4c1e37c1e4ab5ed30.jpg?fit=bounds&format=jpeg&quality=85&width=330,2026-04-12T21:21:00.381+09:00,"千住まいかさん。
ぷあぽのんさんのAIイラストも見てきましたぁ！

めっちゃいいですねー💖
☆*:.｡. o(≧▽≦)o .｡.:*☆
私もやりたくなっちゃいましたぁ！"
nce0caf0abe890,nc93cd8901467,b919145f3b87fb931af1b99d14cf2703,アノニマウス,rich_ferret7937,https://assets.st-note.com/production/uploads/images/246362951/profile_e238e321dc167a4916e4ba43484904d4.jpeg?fit=bounds&format=jpeg&quality=85&width=330,2026-03-13T01:02:37.342+09:00,とても可愛い♥️
nc60d52a53cfcb,nc93cd8901467,abe98232dea78e9af52afd294fdff58d,水瀬シナノ｜AIと遊ぶライター,good_daisy848,https://assets.st-note.com/production/uploads/images/262988237/profile_96f14172d0a61b6865b556dd3a58e3cd.jpg?fit=bounds&format=jpeg&quality=85&width=330,2026-03-12T10:46:11.993+09:00,"まいかさん、こんにちは。

水彩の表現が、幻想的で好きです！
光もとてもキレイですね…！✨

創作の参考にさせていただきます🙌"
ncffa887448b2c,nc93cd8901467,cf16f080e6a215884cd88b19944e0057,penguin_love_＠うつ病歴25年,penguin_love_,https://assets.st-note.com/production/uploads/images/242251247/profile_2c4e51f3549fdce3781a41b8ec8b1ab4.png?fit=bounds&format=jpeg&quality=85&width=330,2026-03-11T14:10:33.749+09:00,めっちゃ可愛い娘さんですね😊
ncc43c149213b4,nc93cd8901467,1caf50f98a41f091be2858866ac0b0a8,ぷわぽのん,puwapononn,https://assets.st-note.com/production/uploads/images/199921765/profile_2af43f80d4580c86af7997de568f8158.png?fit=bounds&format=jpeg&quality=85&width=330,2026-03-08T22:32:46.137+09:00,"とっても素敵なご紹介！
ありがとうございます🤩

何かを始めてみようかな？って、思ってもらえるような感じになってるんですね😁
嬉しいです✨

お陰様で、もっと頑張れそうです🤩🤩🤩

"
ncee77aa033cd1,nc93cd8901467,f77b3ad61a3a2a8d818fd512a86d5651,旅くま,tabikuma_oji,https://assets.st-note.com/production/uploads/images/246133856/profile_1f3ce7914059c9969f89cedc30972904.jpeg?fit=bounds&format=jpeg&quality=85&width=330,2026-03-08T22:30:20.270+09:00,"まいかさん！こんばんは！

色合い素敵ですね😀"
