key,like_count,comment_count
n0b0c5061adc8,39,21
nce392ff5ee8d,49,6
nab655fbffc3c,58,8
n3e3def4ae3a2,46,7
nce0335d0d3f0,49,10
nd0ab484b76de,43,2
n25ba40be7032,19,10
n09603af0f78a,35,6
n3267b981aff6,29,10
n4fad859699c7,61,8
na593256eb638,67,8
nc2ca119c0c37,32,2
n23a2b702a12c,66,5
n150228133bd7,50,4
n632e9bbd0db6,36,2
n6cb787ae122d,28,10
n966078737b4e,43,7
nf4057201b2a3,25,11
ne12f171eb5e9,44,4
n7405918d7eda,21,0
n93f431300bfb,22,4
n430c7479bf2f,66,10
n8dd8f85e1f5b,32,8
n7f72e7d75a3b,44,8
n6d630fd42aa5,34,0
n088f118a5f11,60,23
n5ee88a81f4d8,42,9
na56c5ac0f827,11,0
nc8a9abd4a441,58,14
n806f05379574,24,2
neafe26bc7b01,49,21
n20b11a32eff4,25,10
n773e39751d1f,29,12
nd8f5cd1432b7,41,10
nb40707eaeb51,36,11
n29134dfd09f4,30,6
n03c069df8f91,26,12
n36a84d6ceee9,15,0
nc0e6056acdf7,17,4
n233aded82f40,32,12
nafd11a559837,24,4
n3324e0de1375,91,22
n6764811871c1,23,8
n7592a6636fad,30,6
n79943dff780b,16,0
n186df4f9ea27,26,10
nb0ed94146a9d,25,8
nd682f6daf6e1,32,4
n447c59df189f,15,0
nec6221074122,26,2
n90c733db1f92,39,12
n7e8b68be975d,19,4
n72761ea408a2,33,4
n2706d42858a9,20,0
nec63997f450d,23,2
ne620940e5886,23,2
n6a2d2c8253d6,41,8
n2f5c84490789,11,4
nfee9fdf80535,14,2
n33cf542a9433,31,6
n09ef3db1737b,27,6
n9f6c0cc47841,5,2
nbcd6076c115b,6,6
n061df977c805,33,17
n96d6bfeff841,13,0
ne3b72f60c9d2,13,0
n5a591dd6257b,6,0
na6ce621804b0,2,0
n3b4a8eb026d9,7,0
n83bac7fcaded,11,0
nbbd8ca9a55d7,3,0
nc30bb8d22273,13,0
n3ac4995f11c2,7,4
n0e8d3d14ccd0,11,0
na1d3879ffd71,12,2
n8d59eb9ca8bf,11,4
n4f1b206992e6,6,2
neccfa9fc453d,17,2
n2d2387304c51,10,7
nbfca18275d64,9,0
ncc242e398d95,6,0
nacfe16d2b5fb,7,0
n754a167fa51c,10,0
n8ef6db5059ee,12,0
n56df64272475,33,24
nc6a528e4f068,17,0
n4e67e4f61ee1,40,5
n4e3f261e6b9a,12,2
naecd818aed74,26,10
n51e231489946,6,4
nb38b677a188d,22,12
n8e2b4ae1fcc7,23,2
n9b29c4c82018,8,0
n3d1dd080c516,11,0
n8d6181bb3530,22,10
n2a4edfe6c52c,9,6
ne7a1296c4fe0,12,8
nbcea1133423c,14,0
n97cef974e0fa,17,10
nd530994981af,19,4
n113aa3a4ed4f,18,16
n4bec1c52cd83,15,4
n428a0c187bac,20,7
nc307fb9810c8,21,10
nb7c5dc89e7ad,23,8
n95e2b278a0b3,28,16
n8bffef8e82ab,13,10
n329705ee245a,5,2
nccdfc0568f92,14,11
n0f3e1e1b600f,13,6
n5c1e5f475b89,8,2
n89721fddb94b,14,0
n27deb23451a9,13,6
n8623a77fb97e,7,0
n82365f772936,4,0
n6ba390a23705,5,2
nc92a1d1ffe8a,10,2
n05e3f3c63869,9,0
n9ca9e20044cc,22,4
nc7803055e2e0,16,4
n6cc29e078618,11,6
ne8da707539e4,4,2
nf17ef2f879a5,16,8
nd1dffbf837fa,13,9
n0a1f82294020,25,4
n851592c1a1a5,12,2
na9bd0c09656e,18,2
n5714bd945a01,12,4
n770449983798,6,0
n637880ce8b6f,5,4
naa15a74da95b,6,4
nc994f01ec487,4,2
n45c125906df4,7,4
ncc16280ba773,10,6
n444b49ae1706,13,8
n1af6019e5d91,9,9
n0303e18f6727,16,9
n9b318793761d,18,26
n62235349afa3,11,4
nd4fab877eba9,6,4
n0026b610542e,10,4
n41e83eee4ed8,13,6
neab22d0aaf94,12,10
nbf27601ae085,8,6
nf8a4d784c7a0,3,2
n633e7665983d,7,0
nd4ab157381cf,11,8
n4d8b752eb10a,13,12
nf982c251bd4c,12,6
n5c50c11a04fe,13,6
na32641fb00c8,7,2
n91f5f557eed3,11,2
na6e1ba27fc78,17,10
nbba1e0447eca,11,6
n6dfa93b5ee09,13,18
n3a920cf62b4c,4,2
nba4b25cc61a3,5,0
nfa4be4c573c4,3,4
na5572d779b87,8,8
nfa059b7426ef,4,4
n5a8faf3ed325,11,10
n500e97459d85,6,0
ncf8298ff7c41,15,6
n38057f8f8020,12,8
n011391926e77,10,4
n2caf2c0c0dce,15,22
n916e44058936,8,2
n25ffd7eef24d,23,31
nda70883ef862,16,10
n45d7810b01db,18,20
n9b7fcda137c7,8,12
n7963ab8c54ad,7,2
nd6887a270059,12,12
n1cd44727807b,13,12
nf610bf9364ce,15,14
n5b647c71acda,8,10
ndc05cd21b8ae,12,9
nad01f2a3cf6a,8,10
n07843b3bd1a6,11,12
n0ce0d89a7268,10,0
n6707a90b7f2b,11,6
nc995a7b72d5d,19,17
nb5464e2eaf49,14,6
n7febd72d715c,15,4
ne46a3a7f5f2d,13,4
n56dc5aa13b68,6,2
neb869479121c,7,6
n0353795bc2fd,8,11
nf4a3951e55e1,14,11
n81596fbcf134,12,4
nc13b8969d734,10,8
nb39a9cb870cd,6,8
n357c473fa02c,2,4
nc06ae6091deb,7,2
n74eb23417ac8,8,13
n4c4128902169,6,6
nf53dd6de46d0,13,4
n1309bb7bb05c,16,12
n7c3f427d4816,11,4
nf37bc511801a,9,2
nbb4bd6e6f041,12,2
n0edeb9dae941,11,4
nce0dd531092e,10,13
n8a230ace8c08,15,4
nf9a1bc22c5f4,9,6
nec050336441d,6,4
n47595222a612,11,8
nba422f64aec6,11,10
nfaba8be2c0d7,17,6
n2723cc01f267,3,0
n9a0b332de896,1,0
n465fcf779a6b,13,6
ne603d7be5d7c,20,7
nc2007d41bbcc,7,11
nd63504fc5a73,10,2
na12cec7ff172,19,6
n886469e04080,8,11
n6fc555c924f5,18,4
n67bb1ef1cac0,9,3
n141e1610296d,8,0
n69e190103b37,17,10
n1ac0cc2f6488,7,4
n7ec46dba0e5b,2,0
ndca250057f98,4,0
n849087caebd1,8,0
n3c41ae4b33bd,12,0
n5756aaf0706b,13,0
nb4afcb096b17,2,0
nfb1d6f09b773,4,0
neaddf8e029ee,2,0
n8b1b54bd924c,7,0
n0b94ef1ffba5,5,4
nca1c0681a954,2,0
ncd45d41bc50e,3,0
nf0eca32ac8da,8,0
n0048e4208dd2,2,0
n7753df049e50,4,0
n32c12a34da63,1,0
n06bd5f3aff5c,1,0
n6c07f7f2da48,1,0
nc792d382644b,1,0
n10da26b51134,248,23
n10336e637ad3,37,47
